method,lambda_baskets,n_seed,time_ms_mean,gtspr_mean,multi_count_mean
phase1,1.0,5,69.30199999999999,0.0,1.0
phase1,1.5,5,83.584,0.0,1.8
phase1,2.0,5,142.43200000000002,0.0,4.0
phase1,3.0,5,246.01799999999997,0.0,14.8
phase1,5.0,5,673.832,0.0,33.6
apriori_window_flatten,1.0,5,80.78200000000001,0.0,2.0
apriori_window_flatten,1.5,5,102.28,0.0,5.6
apriori_window_flatten,2.0,5,164.474,0.0,14.0
apriori_window_flatten,3.0,5,385.56399999999996,0.0,65.2
apriori_window_flatten,5.0,5,2078.504,0.07554767664162891,412.6
apriori,1.0,5,432.9447833937593,0.45416164115991586,509.0
apriori,1.5,5,1031.7111418116838,0.6763382884563991,1171.8
apriori,2.0,5,2080.2300667972304,0.4088259472013613,2449.8
apriori,3.0,5,5623.60758340219,0.11849991431168658,8446.0
apriori,5.0,5,26614.781499828678,0.02070444096874545,48302.6
fp_growth,1.0,5,439.33196681318805,0.45416164115991586,509.0
fp_growth,1.5,5,1044.6957084117457,0.6763382884563991,1171.8
fp_growth,2.0,5,2132.9800665960647,0.4088259472013613,2449.8
fp_growth,3.0,5,6076.96488321526,0.11849991431168658,8446.0
fp_growth,5.0,5,25167.36311641289,0.02070444096874545,48302.6
eclat,1.0,5,450.85444177966565,0.45416164115991586,509.0
eclat,1.5,5,988.6231916025281,0.6763382884563991,1171.8
eclat,2.0,5,2141.7466835933737,0.4088259472013613,2449.8
eclat,3.0,5,6275.500274996739,0.11849991431168658,8446.0
eclat,5.0,5,26951.751633395907,0.02070444096874545,48302.6
lcm,1.0,5,448.47500841133296,0.45416164115991586,509.0
lcm,1.5,5,1022.832266590558,0.6763382884563991,1171.8
lcm,2.0,5,2215.968383604195,0.4088259472013613,2449.8
lcm,3.0,5,6092.346933193039,0.11849991431168658,8446.0
lcm,5.0,5,25714.398250030354,0.02070444096874545,48302.6
pfpm,1.0,5,406.8832249962725,0.0,0.0
pfpm,1.5,5,1102.248766599223,0.0,0.0
pfpm,2.0,5,2167.5287331920117,0.0,0.0
pfpm,3.0,5,5978.109400009271,0.0,0.0
pfpm,5.0,5,25302.116582996678,0.0,0.0
ppfpm_gpf_growth,1.0,5,421.4748836006038,0.0,18.6
ppfpm_gpf_growth,1.5,5,1015.3941833996214,0.0,37.4
ppfpm_gpf_growth,2.0,5,2170.3251999919303,0.017846689529242527,79.0
ppfpm_gpf_growth,3.0,5,6283.453641610686,0.06749568985940577,259.8
ppfpm_gpf_growth,5.0,5,25932.001008396037,0.07986502987105204,1697.6
lpfim,1.0,5,429.781324591022,0.05500184026499816,17.6
lpfim,1.5,5,1097.8866832097992,0.10503538323087196,43.8
lpfim,2.0,5,2076.573891402222,0.10604326654965694,107.6
lpfim,3.0,5,6198.035916592926,0.09755019286394204,337.0
lpfim,5.0,5,26305.1647665794,0.06282645810774959,2097.6
lppm,1.0,5,416.8623585952446,0.048241640312557635,4799.6
lppm,1.5,5,1055.9301916044205,0.06910912222951006,11474.0
lppm,2.0,5,2171.0055999923497,0.041467598988670876,24183.4
lppm,3.0,5,6436.46782519063,0.013314124070369332,75239.0
lppm,5.0,5,27066.10141659621,0.002868708359963874,348645.8
