experiment,model,G,seed,gt_spr,gt_n_txn_frequent,gt_n_spurious,phase1_multi,traditional_multi,observed_spurious,phase1_core_ms,trad_flatten_ms,trad_core_ms,trad_total_ms
A2-P,poisson,3,0,0.828171,2712,2246,11,36,25,131.4,14.61,169.38,183.99
A2-P,poisson,3,1,0.826657,2746,2270,11,34,23,123.36,15.4,162.87,178.27
A2-P,poisson,3,2,0.826389,2736,2261,11,36,25,131.42,15.38,170.2,185.58
A2-P,poisson,3,3,0.827392,2665,2205,13,33,20,134.24,16.06,171.33,187.39
A2-P,poisson,3,4,0.827749,2746,2273,11,40,29,127.67,10.99,179.59,190.58
A2-P,poisson,5,0,0.823529,2720,2240,9,28,19,139.96,10.78,169.69,180.47
A2-P,poisson,5,1,0.818182,2728,2232,11,31,20,142.56,16.17,179.43,195.6
A2-P,poisson,5,2,0.832585,2897,2412,12,31,19,144.36,11.64,176.94,188.58
A2-P,poisson,5,3,0.819574,2677,2194,11,30,19,138.86,16.81,174.02,190.83
A2-P,poisson,5,4,0.818217,2580,2111,9,27,18,132.38,16.97,169.77,186.73
A2-P,poisson,10,0,0.788584,2365,1865,2,11,9,134.72,16.43,144.55,160.98
A2-P,poisson,10,1,0.79295,2468,1957,7,15,9,139.12,16.32,144.17,160.49
A2-P,poisson,10,2,0.789249,2344,1850,3,15,12,137.7,10.85,145.18,156.03
A2-P,poisson,10,3,0.794945,2453,1950,3,14,11,173.44,16.49,155.7,172.19
A2-P,poisson,10,4,0.804506,2619,2107,5,15,10,141.98,10.91,154.85,165.75
A2-P,poisson,20,0,0.720625,1983,1429,2,7,5,146.72,16.06,147.54,163.6
A2-P,poisson,20,1,0.724449,1996,1446,2,8,6,148.75,15.71,148.63,164.34
A2-P,poisson,20,2,0.727838,1929,1404,2,7,5,148.51,15.49,148.83,164.32
A2-P,poisson,20,3,0.717738,1945,1396,1,8,7,140.22,15.74,139.28,155.03
A2-P,poisson,20,4,0.720186,1937,1395,2,8,6,154.02,11.82,148.95,160.77
A2-P,poisson,50,0,0.644893,1684,1086,2,6,4,95.63,14.89,95.6,110.5
A2-P,poisson,50,1,0.643305,1755,1129,2,5,3,95.26,11.52,93.97,105.48
A2-P,poisson,50,2,0.631579,1634,1032,2,4,2,94.23,15.94,90.43,106.37
A2-P,poisson,50,3,0.626006,1615,1011,2,5,3,122.58,13.34,97.29,110.63
A2-P,poisson,50,4,0.642105,1710,1098,2,5,3,97.49,10.93,94.78,105.7
