experiment,model,n_transactions,seed,phase1_elapsed_ms,traditional_elapsed_ms,phase1_multi,traditional_multi
A3-P,poisson,1000,0,10.82,11.91,1,10
A3-P,poisson,1000,1,10.21,12.42,2,6
A3-P,poisson,1000,2,10.2,10.95,2,9
A3-P,poisson,10000,0,138.01,157.8,2,11
A3-P,poisson,10000,1,143.41,162.51,7,15
A3-P,poisson,10000,2,136.6,155.2,3,15
A3-P,poisson,100000,0,2411.57,3100.1,8,22
A3-P,poisson,100000,1,2522.66,3152.16,9,23
A3-P,poisson,100000,2,2530.87,3159.39,10,22
A3-P,poisson,1000000,0,94584.28,144296.13,12,30
A3-P,poisson,1000000,1,97195.7,145467.07,13,34
A3-P,poisson,1000000,2,94688.69,141113.28,12,30
